ID	NR_INWENT	NAZWA	REGION	GMINA	ROK_AKTUALIZACJI
745	N-2.49	Schronisko Narożne	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
746	N-8Ex	Jaskinia w Łagiewnikach	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
747	N-2.51	Jaskinia w Ryglu	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
748	N-2.52	Jaskinia na Kontakcie	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
749	N-2.54	Jaskinia pod Wygódką	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
750	N-2.53	Schronisko Samotne	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
751	N-2.55	Schronisko z Czosnkiem	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
752	N-2.60	Dziupla	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
753	N-7Ex	Jaskinia w Woli Zagojskiej	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
754	N-2.61	Jaskinia Szeroka	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
755	N-2.62	Jaskinia Półkolista	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
756	N-2.63	Jaskinia w Siesławicach	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
757	N-2.64	Schronisko Wschodnie w Siesławicach	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
758	N-2.65	Schronisko Wodne I	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
759	N-2.67	Jaskinia Wodna w Siesławicach	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
760	T.E-08.07	Smocza Jama	Tatry	Kościelisko (gm. wiejska)	2014
770	N-10Ex	Schronisko w Łatanicach II	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
771	N-2.74	Schronisko w Grodzisku	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
772	N-2.68	Schronisko Mokre	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
773	N-2.69	Studzienka w Siesławicach	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
774	N-2.70	Jaskinia ze Świetlikami	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
775	N-2.71	Jaskinia Opalowa	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
776	N-2.77	Jaskinia w Śladkowie Dużym	Niecka Nidziańska	Chmielnik (gm. miejsko-wiejska)	2013
777	N-2.78	Schronisko w Śladkowie Małym	Niecka Nidziańska	Chmielnik (gm. miejsko-wiejska)	2013
778	N-2.79	Grota Szydły I	Niecka Nidziańska	Szydłów (gm. miejsko-wiejska)	2013
779	N-2.80	Grota Szydły II	Niecka Nidziańska	Szydłów (gm. miejsko-wiejska)	2013
780	N-2.81	Jaskinia pod Świecami	Niecka Nidziańska	Staszów (gm. miejsko-wiejska)	2013
781	N-2.82	Schronisko Wschodnie w Podwalu	Niecka Nidziańska	Staszów (gm. miejsko-wiejska)	2013
782	N-2.83	Jamy w Podwalu	Niecka Nidziańska	Staszów (gm. miejsko-wiejska)	2013
783	N-2.84	Jaskinia Szydłowska	Niecka Nidziańska	Szydłów (gm. miejsko-wiejska)	2013
784	N-11Ex	Schronisko w Siesławicach I	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
785	N-12Ex	Schronisko w Siesławicach II	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
786	N-13Ex	Jaskinie w Leszczach	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
787	N-14Ex	Jaskinia w Sielcu	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
788	N-15Ex	Jaskinia w Unikowie	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
789	N-16Ex	Pustki podziemne w Staszowie	Niecka Nidziańska	Staszów (gm. miejsko-wiejska)	2013
790	N-17Ex	Jaskinia krasowa w Staszowie	Niecka Nidziańska	Staszów (gm. miejsko-wiejska)	2013
791	N-18Ex	Jaskinie w Piasecznie i Machowie	Niecka Nidziańska	Łoniów (gm. wiejska)	2013
792	N-19Ex	Pustki podziemne w Posądzy	Niecka Nidziańska	Łoniów (gm. wiejska)	2013
793	N-20Ex	Studnia w Szańcu I	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
794	N-21Ex	Studnia w Szańcu II	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
795	N-22Ex	Jaskinia w Marzęcinie	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
796	N-23Ex	Schronisko Stołowe	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
797	N-24Ex	Schronisko Mysia Nora	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
799	N-25Ex	Jaskinia Deszczowa	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
800	N-26Ex	Studnia w Jędrzejowie	Niecka Nidziańska	Jędrzejów (gm. miejsko-wiejska)	2010
801	N-27Ex	Sołecka Studnia w Gackach (N-2.6)	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
802	N-28Ex	Schronisko Małe (N-2.8)	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
803	N-29Ex	Jaskinia w Łatanicach (N-2.56)	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
804	T.A-12.03	Schron w Małym Żlebku	Tatry	Zakopane (gm. miejska)	2013
805	G-1.27	Jaskinia za Filarem	Region Świętokrzyski	Kielce (gm. miejska)	2013
806	G-1.28	Schronisko Niedostępne	Region Świętokrzyski	Kielce (gm. miejska)	2013
807	G-1.29	Schronisko nad Przepaścią	Region Świętokrzyski	Kielce (gm. miejska)	2013
808	G-1.30	Jaskinia Jeleniowska	Region Świętokrzyski	Kielce (gm. miejska)	2013
809	G-1.31	Jaskinia na Kadzielni Górna	Region Świętokrzyski	Kielce (gm. miejska)	2013
810	G-1.32	Jaskinia pod Fałdem	Region Świętokrzyski	Kielce (gm. miejska)	2013
811	G-1.33	Wojtkowa Dziura	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
812	G-1.34	Jaskinia Pajęcza	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
813	G-1.35	Schronisko Krótkie w Jaworzni	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
814	G-1.36	Schronisko nad Chelosiową Jamą	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
815	G-1.37	Gazownia	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
816	G-1.38	Lisia Jama w Jaworzni	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
817	G-1.39	Duża Dziura w Jaworzni	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
818	G-1.40	Ciasny Kominek	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
819	G-1.41	Schronisko Pustułek	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
820	G-1.42	Chelosiowa Jama-Jaskinia Jaworznicka	Region Świętokrzyski	Piekoszów (gm. wiejska)	2013
821	G-2.1	Schronisko Zygmunta	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
